value,value_scale,source,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TIME_PERIOD,UNIT_MULT,DECIMALS,BASE_PER,OBS_STATUS,OBS_STATUS_2
1864.812189,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2019,Units,Zero,,,
1836.06678,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2020,Units,Zero,,,
1953.272823,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2021,Units,Zero,,,
1378.558295,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2019,Units,Zero,,,
1391.525486,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2020,Units,Zero,,,
1454.195332,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2021,Units,Zero,,,
1607.066896,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2022,Units,Zero,,,
1745.706067,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2023,Units,Zero,,,
1888.771156,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2024,Units,Zero,,,
386.8296731,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2019,Units,Zero,,,
430.2760911,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2020,Units,Zero,,,
496.3292065,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2021,Units,Zero,,,
574.7109614,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2022,Units,Zero,,,
649.4163955,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2023,Units,Zero,,,
730.2127145,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2024,Units,Zero,,,
3.110452381,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2019,Units,Two,,,
3.088716876,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2020,Units,Two,,,
3.073686254,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2021,Units,Two,,,
3.218237396,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2019,Units,Two,,,
3.26555705,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2020,Units,Two,,,
3.27382694,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2021,Units,Two,,,
