Displacement,Smooth,Group 1,Group 2,Group 3,Group 4,Group 5
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,22.7,21.2,21.8,22.1,22.4,22.8
1.0,23.2,22.5,22.9,23.1,23.3,23.4
1.5,24.6,23.6,24.2,24.5,24.8,25.0
2.0,26.2,24.8,25.5,26.0,26.3,26.5
2.5,27.8,25.7,26.7,27.2,27.6,27.9
3.0,28.8,26.2,27.6,28.1,28.6,28.9
3.5,29.4,26.0,28.2,28.8,29.2,29.5
4.0,29.8,25.5,28.4,29.1,29.6,29.9
4.5,30.1,24.8,28.2,29.3,29.8,30.2
5.0,30.3,,27.8,29.2,30.0,30.4
5.5,30.5,,27.2,28.8,30.0,30.5
6.0,30.7,,,28.3,29.8,30.6
6.5,30.8,,,27.6,29.5,30.6
7.0,30.9,,,,29.0,30.5
7.5,30.9,,,,28.2,30.3
8.0,30.8,,,,27.0,30.0
8.5,30.7,,,,25.5,29.5
9.0,30.4,,,,23.8,28.8
9.5,30.0,,,,21.0,27.8
10.0,29.2,,,,18.5,26.5
10.5,28.0,,,,,25.0
11.0,26.5,,,,,23.0
11.5,24.5,,,,,20.0
12.0,22.0,,,,,15.0
