species,sex,body_mass_g
Adelie,Male,3750.0
Adelie,Female,3800.0
Adelie,Female,3250.0
Adelie,Female,3450.0
Adelie,Male,3650.0
Adelie,Female,3625.0
Adelie,Male,4675.0
Adelie,Female,3200.0
Adelie,Male,3800.0
Adelie,Male,4400.0
Adelie,Female,3700.0
Adelie,Female,3450.0
Adelie,Male,4500.0
Adelie,Female,3325.0
Adelie,Male,4200.0
Adelie,Female,3400.0
Adelie,Male,3600.0
Adelie,Female,3800.0
Adelie,Male,3950.0
Adelie,Male,3800.0
Adelie,Female,3800.0
Adelie,Male,3550.0
Adelie,Female,3200.0
Adelie,Female,3150.0
Adelie,Male,3950.0
Adelie,Female,3250.0
Adelie,Male,3900.0
Adelie,Female,3300.0
Adelie,Male,3900.0
Adelie,Female,3325.0
Adelie,Male,4150.0
Adelie,Male,3950.0
Adelie,Female,3550.0
Adelie,Female,3300.0
Adelie,Male,4650.0
Adelie,Female,3150.0
Adelie,Male,3900.0
Adelie,Female,3100.0
Adelie,Male,4400.0
Adelie,Female,3000.0
Adelie,Male,4600.0
Adelie,Male,3425.0
Adelie,Female,3450.0
Adelie,Male,4150.0
Adelie,Female,3500.0
Adelie,Male,4300.0
Adelie,Female,3450.0
Adelie,Male,4050.0
Adelie,Female,2900.0
Adelie,Male,3700.0
Adelie,Female,3550.0
Adelie,Male,3800.0
Adelie,Female,2850.0
Adelie,Male,3750.0
Adelie,Female,3150.0
Adelie,Male,4400.0
Adelie,Female,3600.0
Adelie,Male,4050.0
Adelie,Female,2850.0
Adelie,Male,3950.0
Adelie,Female,3350.0
Adelie,Male,4100.0
Adelie,Female,3050.0
Adelie,Male,4450.0
Adelie,Female,3600.0
Adelie,Male,3900.0
Adelie,Female,3550.0
Adelie,Male,4150.0
Adelie,Female,3700.0
Adelie,Male,4250.0
Adelie,Female,3700.0
Adelie,Male,3900.0
Adelie,Female,3550.0
Adelie,Male,4000.0
Adelie,Female,3200.0
Adelie,Male,4700.0
Adelie,Female,3800.0
Adelie,Male,4200.0
Adelie,Female,3350.0
Adelie,Male,3550.0
Adelie,Male,3800.0
Adelie,Female,3500.0
Adelie,Male,3950.0
Adelie,Female,3600.0
Adelie,Female,3550.0
Adelie,Male,4300.0
Adelie,Female,3400.0
Adelie,Male,4450.0
Adelie,Female,3300.0
Adelie,Male,4300.0
Adelie,Female,3700.0
Adelie,Male,4350.0
Adelie,Female,2900.0
Adelie,Male,4100.0
Adelie,Female,3725.0
Adelie,Male,4725.0
Adelie,Female,3075.0
Adelie,Male,4250.0
Adelie,Female,2925.0
Adelie,Male,3550.0
Adelie,Female,3750.0
Adelie,Male,3900.0
Adelie,Female,3175.0
Adelie,Male,4775.0
Adelie,Female,3825.0
Adelie,Male,4600.0
Adelie,Female,3200.0
Adelie,Male,4275.0
Adelie,Female,3900.0
Adelie,Male,4075.0
Adelie,Female,2900.0
Adelie,Male,3775.0
Adelie,Female,3350.0
Adelie,Male,3325.0
Adelie,Female,3150.0
Adelie,Male,3500.0
Adelie,Female,3450.0
Adelie,Male,3875.0
Adelie,Female,3050.0
Adelie,Male,4000.0
Adelie,Female,3275.0
Adelie,Male,4300.0
Adelie,Female,3050.0
Adelie,Male,4000.0
Adelie,Female,3325.0
Adelie,Male,3500.0
Adelie,Female,3500.0
Adelie,Male,4475.0
Adelie,Female,3425.0
Adelie,Male,3900.0
Adelie,Female,3175.0
Adelie,Male,3975.0
Adelie,Female,3400.0
Adelie,Male,4250.0
Adelie,Female,3400.0
Adelie,Male,3475.0
Adelie,Female,3050.0
Adelie,Male,3725.0
Adelie,Female,3000.0
Adelie,Male,3650.0
Adelie,Male,4250.0
Adelie,Female,3475.0
Adelie,Female,3450.0
Adelie,Male,3750.0
Adelie,Female,3700.0
Adelie,Male,4000.0
Gentoo,Female,4500.0
Gentoo,Male,5700.0
Gentoo,Female,4450.0
Gentoo,Male,5700.0
Gentoo,Male,5400.0
Gentoo,Female,4550.0
Gentoo,Female,4800.0
Gentoo,Male,5200.0
Gentoo,Female,4400.0
Gentoo,Male,5150.0
Gentoo,Female,4650.0
Gentoo,Male,5550.0
