flipper_length_mm,body_mass_g,species
181.0,3750.0,Adelie
186.0,3800.0,Adelie
195.0,3250.0,Adelie
193.0,3450.0,Adelie
190.0,3650.0,Adelie
181.0,3625.0,Adelie
195.0,4675.0,Adelie
182.0,3200.0,Adelie
191.0,3800.0,Adelie
198.0,4400.0,Adelie
185.0,3700.0,Adelie
195.0,3450.0,Adelie
197.0,4500.0,Adelie
184.0,3325.0,Adelie
194.0,4200.0,Adelie
174.0,3400.0,Adelie
180.0,3600.0,Adelie
189.0,3800.0,Adelie
185.0,3950.0,Adelie
180.0,3800.0,Adelie
187.0,3800.0,Adelie
183.0,3550.0,Adelie
187.0,3200.0,Adelie
172.0,3150.0,Adelie
180.0,3950.0,Adelie
178.0,3250.0,Adelie
178.0,3900.0,Adelie
188.0,3300.0,Adelie
184.0,3900.0,Adelie
195.0,3325.0,Adelie
196.0,4150.0,Adelie
190.0,3950.0,Adelie
180.0,3550.0,Adelie
181.0,3300.0,Adelie
184.0,4650.0,Adelie
182.0,3150.0,Adelie
195.0,3900.0,Adelie
186.0,3100.0,Adelie
196.0,4400.0,Adelie
185.0,3000.0,Adelie
190.0,4600.0,Adelie
182.0,3425.0,Adelie
190.0,3450.0,Adelie
191.0,4150.0,Adelie
186.0,3500.0,Adelie
188.0,4300.0,Adelie
190.0,3450.0,Adelie
200.0,4050.0,Adelie
187.0,2900.0,Adelie
191.0,3700.0,Adelie
186.0,3550.0,Adelie
193.0,3800.0,Adelie
181.0,2850.0,Adelie
194.0,3750.0,Adelie
185.0,3150.0,Adelie
195.0,4400.0,Adelie
185.0,3600.0,Adelie
192.0,4050.0,Adelie
184.0,2850.0,Adelie
192.0,3950.0,Adelie
195.0,3350.0,Adelie
188.0,4100.0,Adelie
190.0,3050.0,Adelie
198.0,4450.0,Adelie
190.0,3600.0,Adelie
190.0,3900.0,Adelie
196.0,3550.0,Adelie
197.0,4150.0,Adelie
190.0,3700.0,Adelie
195.0,4250.0,Adelie
191.0,3700.0,Adelie
184.0,3900.0,Adelie
187.0,3550.0,Adelie
195.0,4000.0,Adelie
189.0,3200.0,Adelie
196.0,4700.0,Adelie
187.0,3800.0,Adelie
193.0,4200.0,Adelie
191.0,3350.0,Adelie
194.0,3550.0,Adelie
190.0,3800.0,Adelie
189.0,3500.0,Adelie
189.0,3950.0,Adelie
190.0,3600.0,Adelie
202.0,3550.0,Adelie
205.0,4300.0,Adelie
185.0,3400.0,Adelie
186.0,4450.0,Adelie
187.0,3300.0,Adelie
208.0,4300.0,Adelie
190.0,3700.0,Adelie
196.0,4350.0,Adelie
178.0,2900.0,Adelie
192.0,4100.0,Adelie
192.0,3725.0,Adelie
203.0,4725.0,Adelie
183.0,3075.0,Adelie
190.0,4250.0,Adelie
193.0,2925.0,Adelie
184.0,3550.0,Adelie
199.0,3750.0,Adelie
190.0,3900.0,Adelie
181.0,3175.0,Adelie
197.0,4775.0,Adelie
198.0,3825.0,Adelie
191.0,4600.0,Adelie
193.0,3200.0,Adelie
197.0,4275.0,Adelie
191.0,3900.0,Adelie
196.0,4075.0,Adelie
188.0,2900.0,Adelie
199.0,3775.0,Adelie
189.0,3350.0,Adelie
189.0,3325.0,Adelie
187.0,3150.0,Adelie
198.0,3500.0,Adelie
176.0,3450.0,Adelie
202.0,3875.0,Adelie
186.0,3050.0,Adelie
199.0,4000.0,Adelie
191.0,3275.0,Adelie
195.0,4300.0,Adelie
191.0,3050.0,Adelie
210.0,4000.0,Adelie
190.0,3325.0,Adelie
197.0,3500.0,Adelie
193.0,3500.0,Adelie
199.0,4475.0,Adelie
187.0,3425.0,Adelie
190.0,3900.0,Adelie
191.0,3175.0,Adelie
200.0,3975.0,Adelie
185.0,3400.0,Adelie
193.0,4250.0,Adelie
193.0,3400.0,Adelie
187.0,3475.0,Adelie
188.0,3050.0,Adelie
190.0,3725.0,Adelie
192.0,3000.0,Adelie
185.0,3650.0,Adelie
190.0,4250.0,Adelie
184.0,3475.0,Adelie
195.0,3450.0,Adelie
193.0,3750.0,Adelie
187.0,3700.0,Adelie
201.0,4000.0,Adelie
211.0,4500.0,Gentoo
230.0,5700.0,Gentoo
210.0,4450.0,Gentoo
218.0,5700.0,Gentoo
215.0,5400.0,Gentoo
210.0,4550.0,Gentoo
211.0,4800.0,Gentoo
219.0,5200.0,Gentoo
209.0,4400.0,Gentoo
